temperature,ph_level,turbidity,is_safe
30.34,7.34,42.28,1
25.82,7.31,61.48,1
30.71,7.16,66.36,1
30.89,8.11,36.05,1
25.79,7.88,48.92,1
31.34,7.17,49.8,1
35.29,5.4,68.89,0
31.29,7.1,48.06,1
20.57,7.5,41.61,0
27.93,8.11,54.76,1
30.56,4.34,61.34,0
29.85,7.48,75.93,1
25.19,6.61,71.04,1
33.0,4.15,57.9,0
35.11,4.47,60.44,0
27.62,6.6,38.74,1
27.87,6.91,70.68,1
29.21,10.5,69.87,0
33.53,4.84,66.95,0
28.68,7.74,103.97,0
25.67,7.95,30.25,1
30.09,7.3,44.06,1
27.04,6.5,63.97,1
36.78,7.93,62.33,0
28.9,6.55,57.4,1
30.42,7.34,68.59,1
28.73,7.52,50.1,1
27.8,6.63,58.57,1
29.7,8.1,45.02,1
31.98,6.93,42.49,1
27.12,7.51,40.97,1
33.92,5.85,36.55,0
28.88,8.39,35.64,1
29.26,8.16,42.66,1
29.44,8.44,33.97,1
28.67,6.99,54.74,1
26.89,6.9,71.22,1
28.75,7.47,39.44,1
29.71,7.47,143.45,0
30.07,10.09,64.4,0
27.76,7.43,34.84,1
25.04,7.97,49.93,1
26.13,7.77,73.59,1
28.99,7.81,46.05,1
29.96,4.4,75.69,0
27.19,7.86,74.29,1
28.33,7.05,131.41,0
25.62,6.7,72.24,1
34.77,7.35,53.3,0
20.65,7.4,36.47,0
31.19,6.94,123.63,0
25.53,8.14,74.7,1
35.99,4.09,73.24,0
30.37,7.54,50.72,1
31.04,8.09,45.01,1
26.88,8.13,142.79,0
27.52,10.3,55.43,0
29.93,7.45,35.84,1
31.07,10.36,68.79,0
26.25,8.46,49.66,1
29.18,8.42,78.46,1
31.36,7.79,62.62,1
31.02,9.4,79.99,0
26.97,5.73,53.17,0
21.35,8.3,35.75,0
31.02,6.74,41.11,1
29.75,9.65,73.12,0
30.61,8.2,68.26,1
31.68,6.92,30.3,1
37.48,7.35,60.13,0
29.79,6.12,38.96,0
25.8,8.5,57.05,1
29.21,8.36,48.7,1
25.57,7.21,75.85,1
30.76,6.68,92.53,0
21.42,8.24,64.25,0
27.31,6.69,48.05,1
31.47,7.64,38.11,1
28.64,8.36,39.03,1
28.75,7.64,39.75,1
29.63,8.42,71.84,1
30.48,6.75,40.32,1
29.03,7.49,50.82,1
31.65,6.89,121.96,0
28.84,8.47,31.35,1
37.18,4.6,49.72,0
29.71,8.02,133.83,0
23.7,6.99,48.54,0
37.73,4.89,47.6,0
20.36,7.15,49.87,0
27.16,8.48,52.02,1
26.67,7.53,63.68,1
35.78,8.37,73.37,0
29.38,6.55,58.62,1
28.04,8.39,44.38,1
34.97,6.99,33.15,0
29.48,7.69,54.9,1
36.55,5.03,67.68,0
26.85,6.78,41.77,1
25.4,7.55,67.95,1
26.02,7.88,65.88,1
30.62,7.39,42.95,1
23.96,6.51,50.18,0
27.06,6.96,61.57,1
30.01,8.04,46.8,1
26.81,7.53,47.96,1
29.0,8.49,75.87,1
28.78,8.19,47.76,1
37.09,4.71,66.97,0
20.07,7.24,57.89,0
26.59,6.51,48.45,1
25.46,7.96,139.29,0
27.84,9.87,73.89,0
26.29,7.63,78.79,1
29.93,8.03,128.14,0
25.36,8.06,54.81,1
26.7,6.9,49.92,1
25.09,7.03,40.8,1
30.06,8.31,42.59,1
31.64,7.37,66.42,1
31.97,8.15,71.97,1
25.86,6.96,63.5,1
29.51,7.3,107.29,0
34.99,8.48,57.5,0
28.77,8.12,44.52,1
31.28,7.75,50.61,1
26.86,6.56,47.1,1
27.87,8.47,51.68,1
27.16,8.03,54.19,1
31.98,8.36,30.83,1
26.75,8.38,70.47,1
31.87,7.38,50.68,1
25.91,6.89,131.64,0
34.71,4.34,56.91,0
28.0,7.65,68.51,1
23.92,7.15,69.22,0
35.59,5.58,46.59,0
30.62,6.68,97.42,0
28.78,6.68,67.81,1
25.85,7.92,54.23,1
28.48,8.06,55.25,1
29.44,7.82,68.59,1
