temperature,ph_level,turbidity,temp_delta,ph_delta,turb_delta,is_safe
27.44,6.96,5.0,-0.13,0.03,0.3,1
25.65,6.86,11.9,-0.38,-0.01,0.5,1
26.23,7.06,11.4,-0.21,-0.05,0.4,1
27.4,7.13,10.4,-0.27,-0.06,0.9,1
28.66,6.9,16.8,0.19,-0.01,-0.7,1
26.21,7.18,22.0,0.21,-0.02,0.2,1
30.24,6.68,17.4,0.49,0.0,0.3,0
26.43,6.5,20.1,-0.14,0.0,-0.2,0
31.06,7.38,6.6,-0.1,0.01,-1.3,1
28.43,7.33,5.4,0.08,0.01,-0.2,1
27.86,6.99,9.4,-0.29,-0.03,-0.3,1
25.73,6.71,16.0,-0.07,-0.02,-0.1,0
31.71,7.17,8.7,0.1,0.0,0.1,1
30.57,7.42,6.1,0.05,0.07,-0.7,1
29.61,6.86,15.0,0.06,-0.01,0.6,1
27.56,6.53,16.1,0.21,-0.03,0.2,0
29.87,6.71,27.1,-0.24,0.0,-2.2,0
29.35,7.11,10.9,-0.16,-0.05,-1.5,1
25.94,6.84,12.6,-0.02,0.04,0.3,1
25.9,6.73,11.7,-0.01,0.01,-0.5,1
28.71,7.31,7.7,-0.16,-0.01,0.6,1
28.29,6.91,15.7,-0.13,0.05,-2.6,1
26.48,6.92,7.1,0.24,0.0,-3.1,1
27.02,7.35,6.8,-0.09,0.02,0.5,1
26.44,6.75,14.1,-0.13,0.02,-0.8,1
28.78,7.4,8.8,-0.3,0.0,0.4,1
27.42,7.13,22.3,0.26,-0.04,-0.8,1
26.97,7.13,11.7,0.05,0.04,1.0,1
27.25,6.99,17.1,0.18,0.02,1.8,1
26.5,6.86,12.3,-0.03,-0.02,-1.4,1
29.8,7.34,5.3,0.14,-0.05,-0.2,1
29.53,7.09,10.2,0.1,0.0,0.7,1
28.55,7.34,6.6,-0.24,0.02,0.0,1
29.51,6.72,14.2,-0.37,0.0,0.0,1
26.7,7.01,8.8,0.04,-0.03,0.4,1
26.66,6.85,14.4,0.17,0.0,0.1,1
