temperature,ph_level,turbidity,temp_delta,ph_delta,turb_delta,is_safe
29.19,6.91,60.5,0.12,0.09,-1.72,1
27.92,7.8,68.66,0.07,0.09,1.15,1
31.05,8.35,66.61,-0.23,0.03,1.32,1
21.73,9.65,96.62,-0.12,0.05,-0.62,0
29.39,6.75,55.71,0.16,0.06,-1.28,1
31.35,6.77,73.93,-0.24,-0.0,1.89,1
25.71,6.8,73.46,0.03,0.09,1.91,1
31.47,7.42,75.73,-2.06,-0.67,37.48,0
26.08,7.76,56.71,-0.21,0.03,0.92,1
23.2,10.14,131.56,0.02,-0.05,0.14,0
23.09,9.81,91.04,-0.07,-0.07,1.38,0
34.64,4.7,147.09,0.08,-0.05,1.28,0
25.08,8.23,40.03,-0.12,0.1,-0.57,1
27.65,7.11,54.88,-0.07,0.07,-1.25,1
23.46,9.67,87.73,-0.11,0.06,-0.91,0
29.5,6.88,31.38,-0.29,-0.02,0.64,1
31.94,7.4,70.48,0.08,0.01,1.13,1
23.3,5.35,85.13,-0.19,0.04,-0.34,0
26.93,7.61,39.83,2.0,0.76,26.55,0
26.5,6.5,51.78,-0.17,-0.04,0.2,1
26.98,7.69,46.2,-0.04,0.02,-0.62,1
30.1,7.77,37.56,-0.16,0.01,-0.08,1
34.61,9.74,146.6,-0.14,0.09,-0.19,0
25.29,7.57,49.14,0.18,0.04,1.96,1
27.43,7.37,46.81,2.94,-0.66,21.4,0
30.08,6.78,69.61,0.12,0.02,1.92,1
29.83,7.14,74.65,0.11,0.07,0.84,1
22.81,6.12,112.17,-0.01,0.09,1.79,0
25.07,7.5,47.17,0.0,0.06,1.65,1
25.6,6.71,69.56,-0.25,0.08,1.31,1
25.39,8.05,72.4,-0.26,0.03,1.24,1
21.16,9.89,105.4,0.04,0.06,0.81,0
30.55,7.94,33.91,-0.04,-0.05,-0.97,1
30.97,7.39,33.77,2.97,-0.81,24.58,0
29.98,7.13,74.52,-2.49,-0.99,34.46,0
26.27,6.69,77.63,-0.05,0.07,-1.23,1
30.52,6.86,30.66,-0.15,-0.06,-1.98,1
21.03,5.09,124.44,-0.28,0.05,-0.94,0
31.45,8.06,42.68,-0.19,0.02,-1.94,1
28.55,6.66,50.34,-0.28,-0.04,-0.65,1
30.63,8.11,51.8,-0.07,0.08,-0.96,1
30.89,6.96,75.69,-0.09,-0.08,1.69,1
31.77,6.53,33.37,0.04,0.02,-0.83,1
33.31,4.89,125.37,0.13,0.06,-1.34,0
22.69,9.79,142.07,0.04,-0.09,-1.91,0
28.62,7.32,60.19,0.18,0.1,-0.85,1
20.22,5.06,132.18,0.26,0.09,1.16,0
23.06,9.55,148.54,-0.27,0.03,1.71,0
27.12,7.65,69.3,-0.0,0.09,1.97,1
25.98,7.69,55.55,2.08,-0.61,37.56,0
27.67,8.22,57.74,0.15,0.08,-0.03,1
31.66,7.48,33.85,1.6,0.52,31.24,0
26.81,7.45,52.93,-0.11,0.06,0.57,1
28.61,8.22,54.54,2.49,0.77,16.84,0
26.4,6.7,72.89,-2.28,0.83,33.33,0
24.14,9.45,118.6,0.16,0.03,-1.38,0
26.31,7.09,51.38,0.09,-0.1,-0.6,1
27.71,8.1,45.46,-0.26,-0.02,-1.92,1
21.53,5.34,105.36,0.08,0.02,1.64,0
27.34,8.47,56.68,-0.11,0.1,-0.91,1
28.13,6.55,67.39,0.25,-0.06,0.78,1
29.55,7.88,50.52,0.09,-0.02,1.84,1
25.21,7.06,72.66,-1.67,-0.97,27.55,0
30.08,8.15,53.8,0.2,-0.0,-0.16,1
29.99,7.71,44.38,-0.23,0.08,-0.31,1
28.41,6.6,49.81,0.29,0.01,1.32,1
26.99,7.74,59.62,0.06,0.07,-1.01,1
29.97,7.16,66.8,0.27,-0.08,1.17,1
29.27,7.97,61.8,0.29,-0.05,0.57,1
30.71,7.94,64.7,-0.18,0.03,0.14,1
35.36,5.87,148.15,-0.1,-0.1,0.31,0
29.21,6.98,60.16,0.04,-0.01,-1.99,1
31.31,6.99,38.99,0.02,-0.0,0.98,1
31.39,6.54,60.99,-0.06,-0.02,-0.09,1
28.47,8.17,51.67,-1.74,-0.52,35.3,0
34.25,6.03,104.74,-0.05,0.02,0.48,0
26.88,7.03,70.31,-0.02,-0.07,-0.59,1
25.46,7.52,39.8,0.09,0.05,-1.58,1
26.56,6.98,46.5,0.02,-0.09,-0.28,1
29.14,7.33,50.45,0.13,0.0,-1.76,1
27.74,7.49,75.01,2.16,0.97,24.27,0
27.86,8.05,33.87,1.54,-0.95,18.97,0
31.41,7.23,39.65,-2.07,0.82,36.51,0
37.66,5.87,90.86,0.26,0.06,-0.34,0
28.16,8.07,75.41,0.15,-0.02,-1.2,1
27.72,8.15,74.28,0.27,-0.06,-1.94,1
30.7,7.34,38.53,-0.05,-0.1,1.27,1
26.61,7.25,73.3,0.21,0.08,-1.13,1
30.84,7.68,46.01,0.15,0.01,-0.04,1
35.97,6.11,109.45,0.29,0.04,-1.89,0
27.94,8.35,41.16,-0.26,-0.02,0.55,1
31.79,8.34,31.85,0.21,0.03,-1.92,1
29.86,7.39,38.86,2.01,0.6,38.76,0
36.32,10.23,137.5,0.24,0.01,0.43,0
25.15,7.67,65.42,2.89,-0.75,32.7,0
26.51,7.11,59.26,0.09,-0.06,1.63,1
31.53,8.14,31.14,0.09,0.04,1.42,1
28.24,7.65,68.11,2.18,0.91,26.79,0
29.88,8.43,76.91,-0.3,-0.08,1.02,1
26.67,8.12,37.78,-0.16,0.07,-1.37,1
29.25,7.22,58.46,-0.07,-0.08,-0.84,1
29.21,6.64,39.92,-0.05,0.06,1.27,1
29.5,6.54,44.74,0.04,0.02,0.58,1
28.4,6.94,34.49,0.14,-0.0,0.07,1
29.37,7.99,48.25,0.06,-0.01,-1.98,1
29.53,7.06,33.03,2.65,0.77,21.31,0
31.53,6.76,54.15,-0.29,-0.06,0.16,1
23.68,9.63,105.23,0.2,0.06,0.31,0
26.24,7.11,72.64,-0.18,-0.02,1.0,1
25.26,7.55,56.74,1.89,-0.76,37.39,0
27.48,7.36,76.47,-0.17,0.04,0.08,1
25.96,7.52,42.52,-0.12,-0.05,1.34,1
29.49,7.13,34.98,0.18,-0.07,0.83,1
28.56,7.02,60.73,-0.29,-0.02,0.79,1
32.7,5.41,118.7,-0.19,0.08,-1.37,0
29.61,6.98,39.54,0.14,0.01,-1.13,1
28.57,8.25,43.94,-2.61,-0.98,25.02,0
25.75,7.14,77.68,-0.25,0.02,-0.38,1
28.75,6.51,30.72,0.05,-0.01,-0.88,1
26.22,7.62,36.86,0.29,-0.06,-0.19,1
28.49,6.75,58.36,0.26,-0.05,0.96,1
37.87,6.0,133.35,-0.02,0.07,0.61,0
27.98,7.79,33.5,0.26,0.02,0.94,1
27.21,6.78,58.92,-0.22,-0.07,-1.13,1
30.37,7.05,47.92,0.18,-0.08,1.81,1
25.9,7.35,69.83,0.23,0.0,1.45,1
30.59,7.64,59.34,0.27,0.05,0.68,1
27.99,7.39,51.08,-1.52,-0.77,28.25,0
28.67,8.04,36.04,-0.05,-0.05,0.26,1
31.35,6.79,57.86,1.62,-0.56,18.21,0
31.15,8.38,31.31,-0.21,0.01,-1.09,1
32.71,10.22,139.85,0.15,-0.09,0.72,0
30.96,6.83,59.55,0.28,-0.09,1.06,1
27.43,6.56,79.2,0.26,-0.04,-0.84,1
27.02,6.74,77.36,-0.01,0.05,1.06,1
25.13,7.29,71.13,0.15,0.1,1.99,1
25.22,8.14,36.53,-0.19,0.04,1.13,1
30.48,8.02,72.75,0.18,-0.01,-0.01,1
30.22,6.59,74.55,0.06,0.04,0.23,1
31.29,7.57,73.92,-2.41,0.62,19.44,0
27.73,7.76,79.04,0.17,0.01,1.63,1
29.34,7.07,44.14,-0.28,-0.04,0.66,1
22.97,9.97,139.49,-0.16,0.07,-0.85,0
31.84,7.54,63.22,-0.24,-0.0,0.29,1
30.45,7.94,74.31,-2.64,0.66,28.96,0
27.37,8.34,44.55,0.08,-0.1,-1.43,1
